StockCode,Description,QuantitySold,Revenue,UniqueCustomers,Recommendation
10002,INFLATABLE POLITICAL GLOBE ,823,699.55,40,Increase Inventory
10080,GROOVY CACTUS INFLATABLE,291,114.41,19,Maintain Current Strategy
10120,DOGGY RUBBER,192,40.32,25,Maintain Current Strategy
10123C,HEARTS WRAPPING TAPE ,5,3.25,3,Run Promotional Campaign
10124A,SPOTS ON RED BOOKCOVER TAPE,16,6.72,5,Run Promotional Campaign
10124G,ARMY CAMO BOOKCOVER TAPE,17,7.14,4,Run Promotional Campaign
10125,MINI FUNKY DESIGN TAPES,1225,929.45,49,Increase Inventory
10133,COLOURING PENCILS BROWN TUBE,2373,1138.99,101,Increase Inventory
10135,COLOURING PENCILS BROWN TUBE,1936,1784.19,92,Increase Inventory
11001,ASSTD DESIGN RACING CAR PEN,1252,1953.0,44,Increase Inventory
15030,FAN BLACK FRAME ,143,41.47,11,Maintain Current Strategy
15034,PAPER POCKET TRAVELING FAN ,6419,697.0600000000001,70,Increase Inventory
15036,ASSORTED COLOURS SILK FAN,21876,16044.44,194,Increase Inventory
15039,SANDALWOOD FAN,1558,1132.3,58,Increase Inventory
15044A,PINK PAPER PARASOL ,422,1230.5800000000002,53,Maintain Current Strategy
15044B,BLUE PAPER PARASOL ,307,865.6500000000001,36,Maintain Current Strategy
15044C,PURPLE PAPER PARASOL,271,779.45,43,Maintain Current Strategy
15044D,RED PAPER PARASOL,629,1732.79,53,Increase Inventory
15056BL,EDWARDIAN PARASOL BLACK,2779,15218.67,142,Increase Inventory
15056N,EDWARDIAN PARASOL NATURAL,3822,20672.91,184,Increase Inventory
15056P,EDWARDIAN PARASOL PINK,767,4242.26,87,Increase Inventory
15058A,BLUE POLKADOT GARDEN PARASOL,148,1104.6,40,Maintain Current Strategy
15058B,PINK POLKADOT GARDEN PARASOL,115,866.25,32,Maintain Current Strategy
15058C,ICE CREAM DESIGN GARDEN PARASOL,193,894.35,26,Maintain Current Strategy
15060B,FAIRY CAKE DESIGN UMBRELLA,411,1482.87,68,Maintain Current Strategy
