Date,PredictedSales
2011-12-10,34381.30091499998
2011-12-11,30358.79383000001
2011-12-12,34434.285974999984
2011-12-13,35998.11330642856
2011-12-14,39289.19114892857
2011-12-15,43358.75574071419
2011-12-16,33321.13454999999
2011-12-17,33186.069659999994
2011-12-18,28773.961900000013
2011-12-19,30620.099919999982
2011-12-20,32060.68189999999
2011-12-21,34292.42641499998
2011-12-22,37270.4928549999
2011-12-23,30819.525549999984
2011-12-24,30684.460659999986
2011-12-25,28566.797250000014
2011-12-26,30620.099919999982
2011-12-27,32060.68189999999
2011-12-28,34292.42641499998
2011-12-29,37270.4928549999
2011-12-30,30819.525549999984
2011-12-31,30684.460659999986
2012-01-01,28352.185715000014
2012-01-02,36632.91522090337
2012-01-03,38592.96407590338
2012-01-04,39641.84165923671
2012-01-05,42893.13773178572
2012-01-06,32374.728670119057
2012-01-07,32174.34523011906
2012-01-08,23788.683649999974
