StockCode,Description,QuantitySold,Revenue,InventoryStatus,ReorderAlert
10002,INFLATABLE POLITICAL GLOBE ,823,699.55,Medium Moving,YES
10080,GROOVY CACTUS INFLATABLE,291,114.41,Medium Moving,NO
10120,DOGGY RUBBER,192,40.32,Slow Moving,NO
10123C,HEARTS WRAPPING TAPE ,5,3.25,Slow Moving,NO
10124A,SPOTS ON RED BOOKCOVER TAPE,16,6.72,Slow Moving,NO
10124G,ARMY CAMO BOOKCOVER TAPE,17,7.14,Slow Moving,NO
10125,MINI FUNKY DESIGN TAPES,1225,929.45,Fast Moving,YES
10133,COLOURING PENCILS BROWN TUBE,2373,1138.99,Fast Moving,YES
10135,COLOURING PENCILS BROWN TUBE,1936,1784.19,Fast Moving,YES
11001,ASSTD DESIGN RACING CAR PEN,1252,1953.0,Fast Moving,YES
15030,FAN BLACK FRAME ,143,41.47,Slow Moving,NO
15034,PAPER POCKET TRAVELING FAN ,6419,697.0600000000001,Fast Moving,YES
15036,ASSORTED COLOURS SILK FAN,21876,16044.44,Fast Moving,YES
15039,SANDALWOOD FAN,1558,1132.3,Fast Moving,YES
15044A,PINK PAPER PARASOL ,422,1230.5800000000002,Medium Moving,NO
15044B,BLUE PAPER PARASOL ,307,865.6500000000001,Medium Moving,NO
15044C,PURPLE PAPER PARASOL,271,779.45,Medium Moving,NO
15044D,RED PAPER PARASOL,629,1732.79,Medium Moving,YES
15056BL,EDWARDIAN PARASOL BLACK,2779,15218.67,Fast Moving,YES
15056N,EDWARDIAN PARASOL NATURAL,3822,20672.91,Fast Moving,YES
15056P,EDWARDIAN PARASOL PINK,767,4242.26,Medium Moving,YES
15058A,BLUE POLKADOT GARDEN PARASOL,148,1104.6,Slow Moving,NO
15058B,PINK POLKADOT GARDEN PARASOL,115,866.25,Slow Moving,NO
15058C,ICE CREAM DESIGN GARDEN PARASOL,193,894.35,Slow Moving,NO
15060B,FAIRY CAKE DESIGN UMBRELLA,411,1482.87,Medium Moving,NO
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2892,360.71,Fast Moving,YES
16010,FOLDING CAMPING SCISSOR W/KNIF & S,30,3.5999999999999996,Slow Moving,NO
16011,ANIMAL STICKERS,1749,367.29,Fast Moving,YES
16012,FOOD/DRINK SPONGE STICKERS,1220,256.2,Fast Moving,YES
16014,SMALL CHINESE STYLE SCISSOR,13328,4335.76,Fast Moving,YES
16015,MEDIUM CHINESE STYLE SCISSOR,662,289.98,Medium Moving,YES
16016,LARGE CHINESE STYLE SCISSOR,1273,1053.45,Fast Moving,YES
16020C,CLEAR STATIONERY BOX SET ,6,5.1,Slow Moving,NO
16033,MINI HIGHLIGHTER PENS,840,100.79999999999998,Medium Moving,YES
16043,POP ART PUSH DOWN RUBBER ,98,11.759999999999998,Slow Moving,NO
16045,POPART WOODEN PENCILS ASST,8900,380.0,Fast Moving,YES
16046,TEATIME PEN CASE & PENS,64,54.4,Slow Moving,NO
16048,TEATIME ROUND PENCIL SHARPENER ,1436,186.72,Fast Moving,YES
16049,TEATIME GEL PENS ASST,504,82.08,Medium Moving,YES
16052,TEATIME PUSH DOWN RUBBER,467,105.28999999999999,Medium Moving,NO
16054,POPART RECT PENCIL SHARPENER ASST,1166,140.52,Fast Moving,YES
16151A,FLOWERS HANDBAG blue and orange,49,61.25,Slow Moving,NO
16156L,WRAP CAROUSEL,375,157.5,Medium Moving,NO
16156L,"WRAP, CAROUSEL",100,42.0,Slow Moving,NO
16156S,WRAP PINK FAIRY CAKES ,5800,2331.0,Fast Moving,YES
16161G,WRAP BAD HAIR DAY,700,70.0,Medium Moving,YES
16161M,WRAP  PINK FLOCK,25,10.5,Slow Moving,NO
16161P,WRAP ENGLISH ROSE ,7201,2980.42,Fast Moving,YES
16161U,WRAP SUKI AND FRIENDS,4075,1687.5,Fast Moving,YES
16162L,THE KING GIFT BAG,17,11.05,Slow Moving,NO
16162M,THE KING GIFT BAG 25x24x12cm,26,10.92,Slow Moving,NO
16168M,FUNKY MONKEY GIFT BAG MEDIUM,329,138.18,Medium Moving,NO
16169E,WRAP 50'S  CHRISTMAS,4563,1892.46,Fast Moving,YES
16169K,WRAP FOLK ART,200,84.0,Medium Moving,NO
16169M,WRAP DAISY CARPET ,660,277.2,Medium Moving,YES
16169N,WRAP BLUE RUSSIAN FOLKART,25,10.5,Slow Moving,NO
16169P,WRAP GREEN RUSSIAN FOLKART ,50,21.0,Slow Moving,NO
16202A,PASTEL PINK PHOTO ALBUM ,7,3.5,Slow Moving,NO
16202B,PASTEL BLUE PHOTO ALBUM ,29,14.5,Slow Moving,NO
16202E,BLACK PHOTO ALBUM ,15,7.5,Slow Moving,NO
16206B,RED PURSE WITH PINK HEART,7,8.75,Slow Moving,NO
16207A,PINK STRAWBERRY HANDBAG ,13,38.35000000000001,Slow Moving,NO
16207B,PINK HEART RED HANDBAG,4,11.31,Slow Moving,NO
16216,LETTER SHAPE PENCIL SHARPENER,3316,227.14,Fast Moving,YES
16218,CARTOON  PENCIL SHARPENERS,3760,253.2,Fast Moving,YES
16219,HOUSE SHAPE PENCIL SHARPENER,2915,309.9,Fast Moving,YES
16225,RATTLE SNAKE EGGS,760,596.84,Medium Moving,YES
16235,RECYCLED PENCIL WITH RABBIT ERASER,2629,518.1899999999999,Fast Moving,YES
16236,KITTY PENCIL ERASERS,1296,266.56,Fast Moving,YES
16237,SLEEPING CAT ERASERS,4595,885.45,Fast Moving,YES
16238,PARTY TIME PENCIL ERASERS,1259,265.09,Fast Moving,YES
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,7,7.85,Slow Moving,NO
16248B,BLUE HOLE PUNCH,13,16.25,Slow Moving,NO
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,31,27.91,Slow Moving,NO
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,445,156.53,Medium Moving,NO
16259,PIECE OF CAMO STATIONERY SET,3380,326.56,Fast Moving,YES
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,72,20.88,Slow Moving,NO
17003,BROCADE RING PURSE ,22927,5969.61,Fast Moving,YES
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,24,50.400000000000006,Slow Moving,NO
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,80,62.150000000000006,Slow Moving,NO
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET ,270,244.89999999999998,Medium Moving,NO
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,455,422.54999999999995,Medium Moving,NO
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,362,341.79999999999995,Medium Moving,NO
17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,385,362.95,Medium Moving,NO
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET ,35,40.05,Slow Moving,NO
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,365,329.05,Medium Moving,NO
17013D,ORIGAMI ROSE INCENSE IN TUBE,532,257.88,Medium Moving,YES
17014A,ORIGAMI VANILLA INCENSE CONES,154,67.83,Slow Moving,NO
17021,NAMASTE SWAGAT INCENSE,2391,632.34,Fast Moving,YES
17028J,INCENSE BAZAAR PEACH,6,2.52,Slow Moving,NO
17038,PORCELAIN BUDAH INCENSE HOLDER,1501,138.1,Fast Moving,YES
17084A,TRANQUILITY MASALA INCENSE,200,42.0,Medium Moving,NO
17084J,LOVE POTION MASALA INCENSE,225,47.25,Medium Moving,NO
17084N,FAIRY DREAMS INCENSE ,1025,212.75,Fast Moving,YES
17084P,DRAGONS BLOOD INCENSE,349,73.29,Medium Moving,NO
17084R,ASSORTED INCENSE PACK,4032,760.3199999999999,Fast Moving,YES
17090A,LAVENDER INCENSE 40 CONES IN TIN,109,107.44999999999999,Slow Moving,NO
17090D,VANILLA INCENSE 40 CONES IN TIN,29,36.25,Slow Moving,NO
17091A,LAVENDER INCENSE IN TIN,171,98.91,Slow Moving,NO
17091J,VANILLA INCENSE IN TIN,2066,876.34,Fast Moving,YES
17096,ASSORTED LAQUERED INCENSE HOLDERS,2516,443.76000000000005,Fast Moving,YES
17107D,FLOWER FAIRY 5 DRAWER LINERS,59,150.45,Slow Moving,NO
17107D,FLOWER FAIRY 5 SUMMER DRAW LINERS,6,15.299999999999999,Slow Moving,NO
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",105,267.75,Slow Moving,NO
