StockCode,Description,QuantitySold,CurrentPrice,Revenue,RecommendedPrice,Discount(%),ProfitCategory
10002,INFLATABLE POLITICAL GLOBE ,823,0.85,699.55,3.89,5,Low Profit
10080,GROOVY CACTUS INFLATABLE,291,0.41190476190476194,114.41,3.99,10,Low Profit
10120,DOGGY RUBBER,192,0.21,40.32,4.01,10,Low Profit
10123C,HEARTS WRAPPING TAPE ,5,0.65,3.25,4.05,10,Low Profit
10124A,SPOTS ON RED BOOKCOVER TAPE,16,0.42000000000000004,6.72,4.05,10,Low Profit
10124G,ARMY CAMO BOOKCOVER TAPE,17,0.42,7.14,4.05,10,Low Profit
10125,MINI FUNKY DESIGN TAPES,1225,0.7817460317460317,929.45,3.81,0,Low Profit
10133,COLOURING PENCILS BROWN TUBE,2373,0.5292622950819672,1138.99,3.58,0,Medium Profit
10135,COLOURING PENCILS BROWN TUBE,1936,1.1968067226890755,1784.19,3.67,0,Medium Profit
11001,ASSTD DESIGN RACING CAR PEN,1252,1.851875,1953.0,3.8,0,Medium Profit
15030,FAN BLACK FRAME ,143,0.29,41.47,4.02,10,Low Profit
15034,PAPER POCKET TRAVELING FAN ,6419,0.13692307692307693,697.0600000000001,2.77,0,Low Profit
15036,ASSORTED COLOURS SILK FAN,21876,0.8050153846153846,16044.44,0.1,0,High Profit
15039,SANDALWOOD FAN,1558,0.8362857142857143,1132.3,3.74,0,Medium Profit
15044A,PINK PAPER PARASOL ,422,3.017692307692308,1230.5800000000002,3.97,10,Medium Profit
15044B,BLUE PAPER PARASOL ,307,2.9333333333333336,865.6500000000001,3.99,10,Low Profit
15044C,PURPLE PAPER PARASOL,271,2.943333333333334,779.45,4.0,10,Low Profit
15044D,RED PAPER PARASOL,629,2.9615068493150685,1732.79,3.93,5,Medium Profit
15056BL,EDWARDIAN PARASOL BLACK,2779,5.8937113402061865,15218.67,3.5,0,High Profit
15056N,EDWARDIAN PARASOL NATURAL,3822,5.864236842105263,20672.91,3.29,0,High Profit
15056P,EDWARDIAN PARASOL PINK,767,5.941185185185185,4242.26,3.9,5,Medium Profit
15058A,BLUE POLKADOT GARDEN PARASOL,148,7.8088235294117645,1104.6,4.02,10,Medium Profit
15058B,PINK POLKADOT GARDEN PARASOL,115,7.8621951219512205,866.25,4.03,10,Low Profit
15058C,ICE CREAM DESIGN GARDEN PARASOL,193,6.35,894.35,4.01,10,Low Profit
15060B,FAIRY CAKE DESIGN UMBRELLA,411,3.820315789473684,1482.87,3.97,10,Medium Profit
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2892,0.13614285714285712,360.71,3.48,0,Low Profit
16010,FOLDING CAMPING SCISSOR W/KNIF & S,30,0.12,3.5999999999999996,4.05,10,Low Profit
16011,ANIMAL STICKERS,1749,0.21,367.29,3.7,0,Low Profit
16012,FOOD/DRINK SPONGE STICKERS,1220,0.21,256.2,3.81,0,Low Profit
16014,SMALL CHINESE STYLE SCISSOR,13328,0.4014814814814815,4335.76,1.39,0,Medium Profit
16015,MEDIUM CHINESE STYLE SCISSOR,662,0.48833333333333334,289.98,3.92,5,Low Profit
16016,LARGE CHINESE STYLE SCISSOR,1273,0.8460000000000001,1053.45,3.8,0,Medium Profit
16020C,CLEAR STATIONERY BOX SET ,6,0.85,5.1,4.05,10,Low Profit
16033,MINI HIGHLIGHTER PENS,840,0.12,100.79999999999998,3.88,5,Low Profit
16043,POP ART PUSH DOWN RUBBER ,98,0.12,11.759999999999998,4.03,10,Low Profit
